"사용일자","호선명","역명","승차총승객수","하차총승객수","등록일자"
"20230715","우이신설선","4.19민주묘지","2341","2133","20230718"
"20230715","경원선","가능","5015","4756","20230718"
"20230715","3호선","가락시장","6230","5775","20230718"
"20230715","8호선","가락시장","5445","5562","20230718"
"20230715","7호선","가산디지털단지","13892","12723","20230718"
"20230715","경부선","가산디지털단지","6336","7896","20230718"
"20230715","9호선","가양","15207","14557","20230718"
"20230715","우이신설선","가오리","3155","2931","20230718"
"20230715","경의선","가좌","3961","3788","20230718"
"20230715","분당선","가천대","5256","5427","20230718"
"20230715","경춘선","가평","2143","3179","20230718"
"20230715","경인선","간석","4447","4149","20230718"
"20230715","경춘선","갈매","2002","1769","20230718"
"20230715","2호선","강남","58864","58253","20230718"
"20230715","분당선","강남구청","5145","6133","20230718"
"20230715","7호선","강남구청","9396","10097","20230718"
"20230715","5호선","강동","12836","12493","20230718"
"20230715","8호선","강동구청","6368","6180","20230718"
"20230715","경의선","강매","1969","1894","20230718"
"20230715","2호선","강변(동서울터미널)","26375","26395","20230718"
"20230715","5호선","강일","3780","3272","20230718"
"20230715","경춘선","강촌","535","552","20230718"
"20230715","5호선","개롱","4290","4482","20230718"
"20230715","경인선","개봉","16377","15797","20230718"
"20230715","분당선","개포동","3359","3263","20230718"
"20230715","9호선","개화","1369","1157","20230718"
"20230715","5호선","개화산","3852","3752","20230718"
"20230715","5호선","거여","6478","6107","20230718"
"20230715","7호선","건대입구","11619","12313","20230718"
"20230715","2호선","건대입구","33164","36420","20230718"
"20230715","공항철도 1호선","검암","4498","4515","20230718"
"20230715","경강선","경기광주","5586","5223","20230718"
"20230715","과천선","경마공원","13252","13378","20230718"
"20230715","3호선","경복궁(정부서울청사)","20705","19318","20230718"
"20230715","3호선","경찰병원","3881","3966","20230718"
"20230715","공항철도 1호선","계양","8441","7822","20230718"
"20230715","5호선","고덕","7102","6861","20230718"
"20230715","6호선","고려대(종암)","5401","5021","20230718"
"20230715","수인선","고색","2871","2819","20230718"
"20230715","7호선","고속터미널","15639","12213","20230718"
"20230715","3호선","고속터미널","53874","52318","20230718"
"20230715","9호선","고속터미널","15253","22397","20230718"
"20230715","안산선","고잔","6159","6015","20230718"
"20230715","경의선","곡산","395","416","20230718"
"20230715","경강선","곤지암","1894","1825","20230718"
"20230715","5호선","공덕","7910","8276","20230718"
"20230715","공항철도 1호선","공덕","1922","3024","20230718"
"20230715","6호선","공덕","11312","10613","20230718"
"20230715","경의선","공덕","3076","2185","20230718"
"20230715","7호선","공릉(서울과학기술대)","8680","8376","20230718"
"20230715","9호선","공항시장","2300","2348","20230718"
"20230715","공항철도 1호선","공항화물청사","1255","1322","20230718"
"20230715","과천선","과천","4706","4299","20230718"
"20230715","경부선","관악","5499","5462","20230718"
"20230715","신림선","관악산(서울대)","2126","2101","20230718"
"20230715","5호선","광나루(장신대)","10443","9869","20230718"
"20230715","경부선","광명","3405","2983","20230718"
"20230715","7호선","광명사거리","15885","15979","20230718"
"20230715","경원선","광운대","5386","5157","20230718"
"20230715","5호선","광화문(세종문화회관)","18745","18684","20230718"
"20230715","6호선","광흥창(서강)","5601","5052","20230718"
"20230715","3호선","교대(법원.검찰청)","9342","4882","20230718"
"20230715","2호선","교대(법원.검찰청)","15946","19601","20230718"
"20230715","경부선","구로","12899","13753","20230718"
"20230715","2호선","구로디지털단지","35290","34478","20230718"
"20230715","분당선","구룡","1528","1396","20230718"
"20230715","중앙선","구리","10044","10253","20230718"
"20230715","9호선","구반포","678","624","20230718"
"20230715","6호선","구산","5734","4261","20230718"
"20230715","분당선","구성","3170","3404","20230718"
"20230715","2호선","구의(광진구청)","17108","16161","20230718"
"20230715","경인선","구일","4419","4165","20230718"
"20230715","3호선","구파발","15570","15978","20230718"
